,0
185,4490.5747
186,4508.7534
187,4524.106
188,4528.616
189,4535.8374
190,4572.2954
191,4663.427
192,4812.6714
193,5010.074
194,5231.2856
195,5451.056
196,5650.738
197,5820.1284
198,5952.2007
199,6049.7783
200,6116.201
201,6156.0703
202,6171.5415
203,6154.3853
204,6102.249
205,6023.446
206,5923.782
207,5810.745
208,5690.1426
209,5564.0283
210,5434.728
211,5307.5063
212,5188.938
213,5081.7954
214,4986.5483
215,4901.527
216,4821.2925
217,4739.024
218,4652.5635
219,4561.626
220,4468.2036
221,4374.778
222,4284.5913
223,4200.152
224,4124.686
225,4059.987
226,4005.7085
227,3960.1858
228,3921.6824
229,3888.5703
230,3860.478
231,3837.994
232,3821.875
233,3812.3997
234,3808.2043
235,3807.2717
236,3807.6458
237,3808.2014
238,3808.7244
239,3808.0896
240,3805.257
241,3796.3655
242,3778.209
243,3753.077
244,3724.2651
245,3695.3528
246,3669.0378
247,3651.2297
248,3644.8716
249,3650.405
250,3665.9346
251,3687.819
252,3713.1504
253,3740.0767
254,3768.0103
255,3795.3203
256,3819.8936
257,3840.0957
258,3851.6804
259,3856.4138
260,3858.3997
261,3861.632
262,3871.7654
263,3895.4832
264,3939.263
265,4001.2227
266,4079.3748
267,4167.1836
268,4260.3096
269,4353.3906
270,4455.2964
271,4572.74
272,4704.8438
273,4849.757
274,5001.94
275,5147.2803
276,5272.8965
277,5372.46
278,5442.223
279,5475.659
280,5472.3037
281,5435.733
282,5375.1387
283,5304.827
284,5246.71
285,5219.0596
286,5233.986
287,5287.9897
288,5370.6377
289,5467.6797
290,5564.1855
291,5647.13
292,5719.949
293,5790.664
294,5865.964
295,5949.384
296,6046.6987
297,6150.1616
298,6259.822
299,6376.708
300,6492.93
301,6600.9976
302,6680.722
303,6721.2104
304,6717.273
305,6682.928
306,6623.3413
307,6544.2793
308,6454.3164
309,6362.193
310,6281.1206
311,6213.5806
312,6152.4287
313,6085.534
314,6007.63
315,5918.0825
316,5818.9814
317,5713.4375
318,5610.7856
319,5516.964
320,5434.2207
321,5369.4033
322,5327.1826
323,5304.469
324,5280.607
325,5238.5605
326,5172.1816
327,5084.5493
328,4971.233
329,4837.6626
330,4690.9604
331,4541.4375
332,4397.1787
333,4263.663
334,4145.051
335,4042.602
336,3956.0435
337,3884.2688
338,3825.739
339,3778.8042
340,3741.8203
341,3713.2263
342,3691.444
343,3674.7776
344,3661.667
345,3650.6948
346,3640.856
347,3631.5999
348,3623.041
349,3615.5366
350,3609.256
351,3604.3635
352,3601.5652
353,3602.154
354,3607.0955
355,3619.0273
356,3639.7085
357,3666.5054
358,3695.326
359,3722.9133
360,3746.5015
361,3764.476
