,0
228,1113.582
229,1114.8347
230,1116.0103
231,1117.0939
232,1118.0681
233,1118.9093
234,1119.5922
235,1120.0936
236,1120.4167
237,1120.5748
238,1120.5878
239,1120.4856
240,1120.2999
241,1120.0748
242,1119.8534
243,1119.668
244,1119.5314
245,1119.4425
246,1119.3796
247,1119.3191
248,1119.2476
249,1119.1534
250,1119.0219
251,1118.8418
252,1118.6204
253,1118.3634
254,1118.0779
255,1117.7445
256,1117.3151
257,1116.6937
258,1115.7914
259,1114.5626
260,1113.0027
261,1111.1475
262,1109.0585
263,1106.8121
264,1104.4778
265,1102.1244
266,1099.8007
267,1097.5444
268,1095.3785
269,1093.3076
270,1091.31
271,1089.3774
272,1087.5054
273,1085.6901
274,1083.9299
275,1082.2383
276,1080.6249
277,1079.1013
278,1077.6797
279,1076.3654
280,1075.1499
281,1074.0242
282,1072.9736
283,1071.9758
284,1071.021
285,1070.1018
286,1069.2167
287,1068.3645
288,1067.5404
289,1066.767
290,1066.0864
291,1065.5413
292,1065.1616
293,1064.9675
294,1064.977
295,1065.204
296,1065.641
297,1066.2592
298,1067.013
299,1067.8574
300,1068.7526
301,1069.6603
302,1070.552
303,1071.4036
304,1072.202
305,1072.943
306,1073.6237
307,1074.235
308,1074.7631
309,1075.2048
310,1075.5632
311,1075.8439
312,1076.0594
313,1076.2268
314,1076.3583
315,1076.4647
316,1076.5568
317,1076.6497
318,1076.7506
319,1076.8688
320,1077.0073
321,1077.165
322,1077.3424
323,1077.5424
324,1077.7708
325,1078.0277
326,1078.3138
327,1078.645
328,1079.0441
329,1079.5248
330,1080.0994
331,1080.7666
332,1081.523
333,1082.3566
334,1083.2509
335,1084.1814
336,1085.1216
337,1086.0466
338,1086.9619
339,1087.8872
340,1088.839
341,1089.829
342,1090.8868
343,1092.0552
344,1093.3726
345,1094.8822
346,1096.6139
347,1098.5696
348,1100.7562
349,1103.1913
350,1105.8354
351,1108.5992
352,1111.4059
353,1114.2097
354,1116.9677
355,1119.6488
356,1122.2413
357,1124.7378
358,1127.1338
359,1129.4148
360,1131.5564
361,1133.5386
362,1135.3533
363,1137.0323
364,1138.623
365,1140.1791
366,1141.7457
367,1143.339
368,1144.9552
369,1146.5945
370,1148.2548
371,1149.9209
372,1151.5739
373,1153.1866
374,1154.7322
375,1156.191
376,1157.5477
377,1158.8011
378,1159.9728
379,1161.1111
380,1162.2678
381,1163.4836
382,1164.7665
383,1166.1074
384,1167.493
385,1168.9127
386,1170.3606
387,1171.829
388,1173.3043
389,1174.7777
390,1176.249
391,1177.7218
392,1179.1909
393,1180.6544
394,1182.1144
395,1183.5804
396,1185.0571
397,1186.5502
398,1188.1038
399,1189.8036
400,1191.7992
401,1194.2236
402,1197.151
403,1200.6124
404,1204.6252
405,1209.2279
406,1214.4525
407,1220.2834
408,1226.6565
409,1233.516
410,1240.8318
411,1248.588
412,1256.8748
413,1265.6769
414,1274.4004
415,1282.8365
416,1290.8103
417,1298.1656
418,1304.7904
419,1310.455
420,1314.9087
421,1318.0509
422,1319.8923
423,1320.5306
424,1319.9608
425,1318.4551
426,1316.3866
427,1314.0964
428,1311.8541
429,1309.8853
430,1308.3619
431,1307.3779
432,1306.9065
433,1306.8749
434,1307.2039
435,1307.8195
436,1308.6565
437,1309.6432
438,1310.7163
439,1311.892
440,1313.2178
441,1314.6823
442,1316.3661
443,1318.3519
444,1320.6919
445,1323.4115
446,1326.522
447,1330.0234
448,1333.8531
449,1337.8933
450,1342.0203
451,1346.081
452,1349.9364
453,1353.4965
454,1356.7177
455,1359.6067
456,1362.2177
457,1364.6273
458,1366.9012
459,1369.12
460,1371.3945
461,1373.8317
462,1376.5596
463,1379.6957
464,1383.2882
465,1387.3468
466,1391.8635
467,1396.8098
468,1402.1776
469,1407.9854
470,1414.2539
471,1420.9719
472,1428.1152
473,1435.6552
474,1443.5022
475,1451.4082
476,1459.1357
477,1466.4124
478,1473.0507
479,1478.9967
480,1484.2861
481,1489.0013
482,1493.248
483,1497.0618
484,1500.3469
485,1502.8335
486,1504.3204
487,1504.7391
488,1504.2001
489,1502.823
490,1500.7197
491,1497.8821
492,1494.3269
493,1490.1095
494,1485.413
495,1480.469
496,1475.4921
497,1470.6393
498,1466.0723
499,1461.9382
500,1458.3651
501,1455.4808
502,1453.3623
503,1452.0116
504,1451.4382
505,1451.6313
506,1452.5494
507,1454.1342
508,1456.3123
509,1459.0145
510,1462.1635
511,1465.6426
512,1469.3136
513,1473.0461
514,1476.7334
515,1480.3085
516,1483.7444
517,1487.0315
518,1490.1829
519,1493.2095
520,1496.123
521,1498.9044
522,1501.5634
523,1504.1477
524,1506.7264
525,1509.403
526,1512.2784
527,1515.4332
528,1518.943
529,1522.9381
530,1527.5739
531,1533.0128
532,1539.3484
533,1546.5555
534,1554.4661
535,1563.3324
536,1574.2885
537,1588.8525
538,1608.1533
539,1632.6986
540,1663.2758
541,1700.2646
542,1743.3739
543,1791.4573
544,1843.8981
545,1899.549
546,1956.5465
547,2014.4568
548,2071.7896
549,2126.7556
550,2178.3276
551,2225.4243
552,2267.2744
553,2303.7722
554,2334.7012
555,2359.9202
556,2379.6646
557,2394.476
558,2404.9639
559,2411.8682
560,2416.0183
561,2418.2622
562,2419.4907
563,2420.6106
564,2422.6992
565,2427.173
566,2435.0955
567,2446.8284
568,2463.0776
569,2484.2559
570,2510.2131
571,2539.7883
572,2571.315
573,2601.6584
574,2627.8591
575,2647.8455
576,2660.8723
577,2666.6697
578,2665.4949
579,2658.6245
580,2647.5232
581,2633.645
582,2618.443
583,2602.861
584,2587.6284
585,2573.1516
586,2559.5571
587,2546.9778
588,2535.534
589,2525.164
590,2515.7422
591,2507.238
592,2499.649
593,2493.0125
594,2487.3694
595,2482.7498
596,2479.0312
597,2476.0974
598,2473.7883
599,2471.9001
600,2470.1914
601,2468.4707
602,2466.6025
603,2464.4434
604,2461.8433
605,2458.7126
606,2455.1936
607,2451.5874
608,2448.2173
609,2445.6807
610,2444.5
611,2445.314
612,2448.6875
613,2454.978
614,2464.224
615,2475.7378
616,2488.754
617,2503.0098
618,2518.3184
619,2534.5798
620,2552.1475
621,2570.9895
622,2590.199
623,2609.195
624,2628.0051
625,2648.426
626,2672.3052
627,2702.369
628,2743.091
629,2796.9248
630,2865.1462
631,2949.344
632,3051.356
633,3165.8533
634,3292.1013
635,3428.2212
636,3572.6182
637,3719.866
638,3861.2627
639,3989.8193
640,4099.0947
641,4184.1904
642,4244.196
643,4281.488
644,4301.4326
645,4309.492
646,4309.863
647,4305.702
648,4299.063
649,4293.3745
650,4290.467
651,4291.9917
652,4300.7783
653,4314.365
654,4329.371
655,4338.929
656,4340.102
657,4335.276
658,4327.804
659,4316.169
660,4298.8237
661,4274.4727
662,4243.6807
663,4208.1475
664,4168.5044
665,4121.911
666,4070.3584
667,4016.938
668,3964.5488
669,3916.5232
670,3875.0635
671,3841.434
672,3814.3801
673,3792.1453
674,3773.9355
675,3758.8418
676,3747.2996
677,3739.6597
678,3737.5237
679,3741.9565
680,3753.2693
681,3772.493
682,3801.062
683,3839.053
684,3883.9072
685,3931.4019
686,3977.8079
687,4020.7935
688,4059.466
689,4095.606
690,4133.18
691,4175.033
692,4222.685
693,4285.9897
694,4377.2256
695,4505.7065
696,4666.3555
697,4846.5933
698,5027.76
699,5193.345
700,5335.006
701,5456.684
702,5563.407
703,5657.3267
704,5736.4546
705,5788.5884
706,5811.3335
707,5810.86
708,5791.5796
709,5756.8394
710,5718.3076
711,5685.0405
712,5669.1704
713,5683.8716
714,5743.5347
715,5855.5347
716,6020.4775
717,6228.0864
718,6448.5166
719,6656.8833
720,6844.8354
721,6999.1665
722,7098.359
723,7128.2285
724,7083.7163
725,6985.861
726,6859.695
727,6742.2065
728,6672.567
729,6666.598
730,6721.5327
731,6829.0767
732,6977.0396
733,7145.0415
734,7318.5273
735,7479.233
736,7620.705
737,7756.994
738,7914.932
739,8123.506
740,8397.623
741,8721.52
742,9081.368
743,9489.9375
744,9941.813
745,10413.532
746,10882.32
747,11329.916
748,11854.516
749,12700.426
750,13826.706
751,14951.464
752,15890.144
753,16624.924
754,17175.943
755,17543.395
756,17741.55
757,17787.148
758,17695.666
759,17472.424
760,17119.334
761,16642.047
762,16066.466
763,15482.445
764,14965.006
765,14552.282
766,14246.764
767,14041.866
768,13945.451
769,13956.179
770,14044.104
771,14175.327
772,14304.493
773,14417.568
774,14494.583
775,14533.609
776,14530.253
777,14481.822
